namespace,key,label::fr,label::en,label_one::fr,label_one::en,
household,personSchoolTypeYoungChild,**Type d’école / garderie**,**School type / daycare**,,,
household,personSchoolTypeOlderPerson,**Établissement d'enseignement / type d'école**,**School type**,,,
